"id_lieu","id_local","nom_lieu","ad_lieu","com_lieu","insee","type","date_maj","ouvert","source","Xlong","Ylat","nbre_pl","nbre_pmr","duree","horaires","proprio","lumiere","comm"
"62688-C-009","C-009","la Poste de Rang du Fliers","route de Berck","Rang-du-Fliers","62688","Auto-stop","2020-09-13","true","810157982","1.6382825","50.4169086","","","","","","true",""
"67385-C-001","C-001","Centre","Rue du Maire Ensminger","Ratzwiller","67385","Auto-stop","2019-06-28","true","810157982","7.2400182","48.9555849","","","","","","true",""
"67385-C-002","C-002","Neubau","Rue Bellevue","Ratzwiller","67385","Auto-stop","2019-06-28","true","810157982","7.2342139","48.9632493","","","","","","true",""
"60526-C-001","C-001","Arrêt de bus Rue du 8 Mai 1945","Rue du 8 Mai 1945","Ravenel","60526","Auto-stop","2019-06-20","true","810157982","2.4979050","49.5143200","","","","","","true",""
"60526-C-002","C-002","Abribus DECAUX rue de Noyon","9 Rue de Noyon","Ravenel","60526","Auto-stop","2018-07-30","true","810157982","2.5042450","49.5149730","","","","","","true",""
"60526-C-003","C-003","Rond Point sortie de village","Rue du General Leclerc","Ravenel","60526","Auto-stop","2019-06-20","true","810157982","2.5002460","49.5200290","","","","","","true",""
"60526-C-004","C-004","Rond Point sortie de village (vers Maignelay)","Rue du General Leclerc","Ravenel","60526","Auto-stop","2019-06-20","true","810157982","2.5004640","49.5200900","","","","","","true",""
"60526-C-005","C-005","Petit Square de la Mairie","Rue de l'Eglise","Ravenel","60526","Auto-stop","2019-06-20","true","810157982","2.5036660","49.5146150","","","","","","true",""
"60526-C-006","C-006","Abribus DECAUX rue du Général Leclerc","Rue du Général Leclerc","Ravenel","60526","Auto-stop","2019-06-20","true","810157982","2.5015940","49.5168350","","","","","","true",""
"60526-C-007","C-007","Place Communale","Rue de Léglantiers","Ravenel","60526","Auto-stop","2019-06-20","true","810157982","2.5033270","49.5145750","","","","","","true",""
"62690-C-001","C-001","Rue de Labroye","2 rue de Labroye","Raye-sur-Authie","62690","Auto-stop","2019-09-19","true","810157982","1.9480420","50.2965570","","","","","","true",""
"62690-C-002","C-002","Rue de Rapechy","70 rue de Rapechy","Raye-sur-Authie","62690","Auto-stop","2019-09-19","true","810157982","1.9473610","50.2986670","","","","","","false",""
"66159-C-001","C-001","Faguera","Route départementale 32E","Réal","66159","Auto-stop","2019-01-09","true","810157982","2.1324284","42.6312414","","","","","","true",""
"82149-C-001","C-001","Au lys d'or","","Réalville","82149","Auto-stop","2017-10-17","true","810157982","1.4779723","44.1145277","","","","","","false",""
"82149-C-002","C-002","Route de Mirabel","","Réalville","82149","Auto-stop","2017-10-17","true","810157982","1.4778864","44.1147126","","","","","","false",""
"47221-C-001","C-001","Place de la mairie","","Réaup-Lisse","47221","Auto-stop","2020-05-18","true","810157982","0.1876907","44.0895980","","","","","","true",""
"47221-C-002","C-002","Place Devert","","Réaup-Lisse","47221","Auto-stop","2020-05-18","true","810157982","0.1874600","44.0905073","","","","","","true",""
"47221-C-003","C-003","Antenne","","Réaup-Lisse","47221","Auto-stop","2020-05-18","true","810157982","0.1867090","44.0901940","","","","","","true",""
"47221-C-004","C-004","Cahutte","","Réaup-Lisse","47221","Auto-stop","2020-05-18","true","810157982","0.1874386","44.0905965","","","","","","false",""
"17295-C-001","C-001","Arrêt de bus - face mairie","14 rue de Haute Saintonge","Réaux","17295","Auto-stop","2020-02-04","true","810157982","-0.3746210","45.4777650","","","","","","true",""
"77386-C-001","C-001","Place du Pilori","28 Rue Grande","Recloses","77386","Auto-stop","2021-02-25","true","810157982","2.6406840","48.3456870","","","","","","false",""
"77386-C-002","C-002","Mare à la Bonne","113 Rue Grande","Recloses","77386","Auto-stop","2021-02-25","true","810157982","2.6419960","48.3517850","","","","","","false",""
"77386-C-003","C-003","Mare à la Bonne","107 Rue Grande","Recloses","77386","Auto-stop","2021-02-25","true","810157982","2.6412926","48.3509956","","","","","","false",""
"09243-C-001","C-001","Mairie","","Régat","09243","Auto-stop","2019-10-29","true","810157982","1.8857103","42.9886494","","","","","","true",""
"62700-C-001","C-001","Rue de Caumont","Rue de Caumont","Regnauville","62700","Auto-stop","2019-09-19","true","810157982","2.0106670","50.3103890","","","","","","true",""
"62700-C-002","C-002","Monument aux morts","6 route nationale","Regnauville","62700","Auto-stop","2019-09-19","true","810157982","2.0128330","50.3136670","","","","","","true",""
"62700-C-003","C-003","Calvaise","13 route nationale","Regnauville","62700","Auto-stop","2019-09-19","true","810157982","2.0118610","50.3126670","","","","","","true",""
"60531-C-001","C-001","Lachelle","60 rue de Lachelle","Remy","60531","Auto-stop","2021-04-02","true","810157982","2.7129906","49.4370607","","","","","","true",""
"60531-C-002","C-002","rue de Francières","523 rue de Francières","Remy","60531","Auto-stop","2021-04-02","true","810157982","2.7042198","49.4412606","","","","","","true",""
